94|0.42339019740572564,2403|0.3774256780481986,3208|0.3464101615137755,47|0.34426518632954817,56|0.33596842045264647,3158|0.33333333333333337,2198|0.31426968052735443,2696|0.30792014356780045,4401|0.28867513459481287,1531|0.2858966759567453,278|0.2810913475705226,1053|0.2809003238667948,239|0.2765204519281134,838|0.2749859704614352,61|0.27498597046143514,232|0.2694301256218254,4332|0.2694301256218254,661|0.264197974633739,4593|0.264197974633739,3730|0.2592592592592593,1650|0.2501595914621521,158|0.24618298195866545,461|0.24618298195866545,1083|0.24618298195866542,322|0.24077170617153845
199|0.6207522318391884,12|0.6091095901015049,5|0.2556038601690775,115|0.2556038601690775,30|0.2506402059138015,536|0.23732222626728364,1017|0.23333333333333328,2029|0.2284160962880643,129|0.22841609628806428,1652|0.223606797749979,271|0.21908902300206645,13|0.21908902300206642,4211|0.21081851067789198,2474|0.20942695414584772,1708|0.19674775073518586,17|0.19462473604038072,178|0.19462473604038072,262|0.19462473604038072,894|0.19034674690672024,1095|0.19034674690672024,448|0.1884336657203579,3374|0.1863389981249825,329|0.18633899812498247,330|0.18633899812498247,840|0.18633899812498247
29|0.48900964692182586,11|0.3336230624913197,354|0.2553769592276246,183|0.25021729686848976,1100|0.25021729686848976,1137|0.25021729686848976,1999|0.25021729686848976,2156|0.25021729686848976,3336|0.25021729686848976,3373|0.24573659359149527,782|0.24077170617153845,3494|0.24077170617153845,4638|0.24077170617153845,1177|0.23995690956687132,3352|0.23643312187173018,147|0.2323209277987099,219|0.22750787759664506,1958|0.22750787759664506,444|0.22470176588194152,1192|0.22470176588194152,2167|0.2222771122371935,1024|0.22116293423234573,206|0.2173913043478261,1013|0.2173913043478261,3986|0.2173913043478261
119|0.7307692307692306,65|0.6923076923076922,4638|0.45291081365783836,2793|0.39467610868816316,1196|0.37630890450319093,428|0.3602883460614461,1359|0.3530090432487313,210|0.3396831102433788,1720|0.3335621924974955,2371|0.3335621924974955,1740|0.32776066832815337,3332|0.3149448894660932,3359|0.29417420270727607,3819|0.2926847035024818,3966|0.2926847035024818,4099|0.29268470350248177,2790|0.29134281629169184,1013|0.28625128703833574,1792|0.28625128703833574,2398|0.28625128703833574,1503|0.2853908964926965,3293|0.28022426915890253,1986|0.27735009811261463,4664|0.27735009811261463,1234|0.27456258919345766
972|0.30792014356780045,2904|0.30792014356780045,3494|0.30792014356780045,4401|0.30000000000000004,111|0.2919201796799047,270|0.28577380332470415,183|0.28,260|0.28,400|0.28,2444|0.27456258919345766,4155|0.2618614682831909,46|0.2599734734478726,1650|0.2599734734478726,158|0.25584085962673253,305|0.2556038601690775,122|0.25021729686848976,2630|0.25021729686848976,27|0.24494897427831788,249|0.24494897427831788,256|0.24494897427831788,1068|0.24494897427831788,2121|0.24494897427831788,94|0.24000000000000005,266|0.24000000000000005,419|0.24000000000000005
30|0.6667948594698258,159|0.469041575982343,115|0.28,37|0.2683281572999748,1559|0.25584085962673253,1|0.2556038601690775,2029|0.25021729686848976,4395|0.25,271|0.24000000000000005,1523|0.23533936216582085,2756|0.23533936216582085,1016|0.23094010767585033,2875|0.22941573387056174,1002|0.223606797749979,1017|0.21908902300206645,1708|0.21552636243212991,501|0.21320071635561044,1435|0.2085144140570748,448|0.206418738616856,816|0.20412414523193156,4|0.20000000000000004,785|0.20000000000000004,1031|0.20000000000000004,1359|0.20000000000000004,784|0.19611613513818404
143|0.2445579940222592,1695|0.2445579940222592,3670|0.22941573387056174,1108|0.21052631578947364,352|0.20025046972870353,2432|0.20025046972870353,81|0.1967223688411584,42|0.19564639521780736,391|0.19564639521780736,465|0.19134594929397594,899|0.19134594929397594,187|0.1873171623163388,326|0.1873171623163388,565|0.1873171623163388,555|0.1835325870964494,77|0.179968508266339,488|0.179968508266339,578|0.179968508266339,269|0.17660431427533915,364|0.17342199390482396,380|0.17342199390482396,173|0.16692446522239715,254|0.16481712868606582,1857|0.16222142113076254,1481|0.15789473684210523
16|0.9181561700975337,79|0.6210590034081188,26|0.5865557254410011,85|0.5449492609130661,126|0.48304589153964794,182|0.4567734398020992,511|0.4567734398020992,203|0.4485426135725302,33|0.4140393356054125,174|0.4131671220064233,46|0.4068381021724862,31|0.40166320883712187,68|0.40166320883712187,38|0.3938631807216881,64|0.3938631807216881,788|0.3795360576382948,870|0.3795360576382948,169|0.35805743701971643,14|0.34503277967117707,94|0.32863353450309973,1192|0.32791291789197646,782|0.31622776601683794,101|0.3113995776646092,129|0.3045547950507524,2197|0.3045547950507524
113|0.6822422923379534,114|0.6822422923379534,197|0.5779204918167032,191|0.47871355387816905,276|0.47871355387816905,305|0.27247463045653303,1686|0.25087260300212727,331|0.24618298195866545,37|0.23836564731139806,390|0.23262105259961768,1734|0.23262105259961768,90|0.22727272727272724,636|0.22727272727272724,1849|0.22227711223719354,2294|0.22227711223719354,109|0.2175970699446223,2826|0.2175970699446223,1999|0.21320071635561044,3670|0.21320071635561041,518|0.20683507599800763,1764|0.20100756305184242,2899|0.20100756305184242,1481|0.19564639521780736,80|0.18609684207969415,208|0.18609684207969415
14|0.6172133998483675,870|0.3857583749052297,163|0.3471825374147068,79|0.3471825374147067,126|0.3471825374147067,38|0.3202563076101743,182|0.3142696805273545,511|0.3142696805273545,203|0.30860669992418377,788|0.30860669992418377,46|0.30323921743156135,7|0.29814239699997197,16|0.29329423004270666,174|0.28426762180748066,241|0.27003086243366087,33|0.2700308624336608,1192|0.25663245128736834,121|0.25000000000000006,10|0.24494897427831788,531|0.24494897427831788,64|0.24019223070763074,668|0.24019223070763074,1939|0.24019223070763074,4759|0.23814483610392012,1328|0.23570226039551584
